URL,Countries_Filled,Country_Code,Continent,Companies,Company Headquarters,HQ_Country,HQ_Continent
https://www.business-humanrights.org/en/latest-news/new-wave-group-response-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia,New Wave Group,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/perenco-response-to-articles-regarding-local-communities-protests-against-alleged-environmental-damage-of-perencos-operations-in-orellana-ecuador/,EC,EC,South America,Perenco,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/updated-company-response-from-top-toy-on-labour-conditions-in-toy-factories-in-china-following-release-of-english-version-of-swedwatch-and-fair-trade-center-report-easy-to-manage/,CN,CN,Asia,TOP-TOY,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-guardian-article/,CO,CO,South America,Coca-Cola,US,US,North America
https://www.business-humanrights.org/en/latest-news/adidas-response-to-the-report-the-life-of-football-factory-workers-in-thailand-issued-by-thai-labour-campaign-and-the-ccc-on-june-30-2006/,TH,TH,Asia,adidas,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/response-by-sp-international-to-calcutta-telegraph-article-alleging-exploitation-of-child-workers/,IN,IN,Asia,SP International,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/statement-from-brio-in-response-to-swedwatch-and-fair-trade-center-report-easy-to-manage-on-labour-conditions-in-china/,CN,CN,Asia,Brio,SE,SE,Europe
https://www.business-humanrights.org/en/latest-news/yamana-gold-response-to-business-human-rights-resource-centre-regarding-concerns-about-environmental-impacts-and-alleged-harassment-of-villagers-journalists-san-andrés-mine-honduras/,HN,HN,South America,Yamana Gold,CA,CA,North America
https://www.business-humanrights.org/en/latest-news/shell-response-to-article-by-former-shell-executive-paddy-briggs/,SA,SA,Asia,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/de-beers-response-to-benchmarks-report/,BW,BW,Africa,De Beers (part of Anglo American),ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,NG,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,PH,Asia,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,RU,Europe,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,US,North America,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,ZA,Africa,Shell plc,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-from-glamis-gold-to-cao-follow-up-assessment-guatemala/,GT,GT,South America,Glamis Gold (part of Goldcorp),US,US,North America
https://www.business-humanrights.org/en/latest-news/réponse-de-sabodala-gold-operationsmdl-au-sujet-de-licenciements-par-son-sous-traitant-sénégal/,SN,SN,Africa,MDL (Mineral Deposits Limited),AU,AU,Australia
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-in-response-to-survival-international-news-release-concerning-botswana/,BW,BW,Africa,BHP,AU,AU,Australia
https://www.business-humanrights.org/en/latest-news/response-by-nicotex-to-report-on-labour-abuses-at-its-factory-in-guatemala/,GT,GT,South America,Nicotex,GT,GT,South America
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,BA,Europe,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,IN,Asia,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,KZ,Asia,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,LR,Africa,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,RO,Europe,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,ZA,Africa,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/merck-response-re-hpv-vaccine-testing-in-india/,IN,IN,Asia,Merck,DE,DE,Europe
https://www.business-humanrights.org/en/latest-news/correo-electrónico-enviado-por-oscar-gonzález-representante-de-manufacturas-lajat-en-respuesta-a-un-comunicado-de-la-coalición-pro-justicia-en-las-maquiladoras/,MX,MX,South America,Grupo Lajat,MX,MX,South America
https://www.business-humanrights.org/en/latest-news/coal-india-response-to-tehelka-article/,IN,IN,Asia,Coal India (CIL),IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/response-of-freeport-mcmoran-to-new-york-times-article/,ID,ID,Asia,Freeport-McMoRan,US,US,North America
https://www.business-humanrights.org/en/latest-news/ingenio-guadalupe-response-to-reports-of-repressing-indigenous-community-guatemala/,GT,GT,South America,Ingenio Guadalupe,GT,GT,South America
https://www.business-humanrights.org/en/latest-news/respuesta-de-graciela-naum-a-alegaciones-que-compra-mercancía-producida-en-talleres-clandestinos-argentina/,AR,AR,South America,Graciela Naum,AR,AR,South America
https://www.business-humanrights.org/en/latest-news/response-to-observer-article-of-11th-january-2009/,GB|IQ,GB,Europe,Erinys International,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-to-observer-article-of-11th-january-2009/,GB|IQ,IQ,Asia,Erinys International,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-of-kingmaker-footwear-to-concerns-regarding-labour-conditions-at-its-zhuhai-china-factory/,CN,CN,Asia,Kingmaker Footwear,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/salmonchile-ag-respuesta-de-la-industria-salmonera-con-relación-al-articulo-publicado-en-la-nación-sobre-condiciones-laborales/,CL,CL,South America,SalmonChile,CL,CL,South America
https://www.business-humanrights.org/en/latest-news/respuesta-de-friosur-al-artículo-en-la-nación-sobre-condiciones-laborales-chile/,CL,CL,South America,Friosur,CL,CL,South America
https://www.business-humanrights.org/en/latest-news/respuesta-de-ecuavital-biox-sobre-alegaciones-que-sus-guardias-de-seguridad-reprimieron-a-defensores-de-derechos-humanos/,EC,EC,South America,Ecuavital Biox,EC,EC,South America
https://www.business-humanrights.org/en/latest-news/sainsburys-response-to-actionaid-report-who-pays-how-british-supermarkets-are-keeping-women-workers-in-poverty/,CR,CR,South America,Sainsbury's,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/ali-baba-foods-response-to-allegations-by-the-food-and-allied-workers-union-fawu-that-the-companys-action-led-to-the-shooting-of-workers-by-police/,ZA,ZA,Africa,Ali Baba Foods,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/kbc-response-to-netwerk-vlaanderen-report-where-do-you-draw-the-line/,GE,GE,Asia,KBC,BE,BE,Europe
https://www.business-humanrights.org/en/latest-news/petronas-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,CM,Africa,Petronas,MY,MY,Asia
https://www.business-humanrights.org/en/latest-news/petronas-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,TD,Africa,Petronas,MY,MY,Asia
https://www.business-humanrights.org/en/latest-news/response-of-united-states-steel-to-toxic-100-ranking/,US,US,North America,United States Steel (US Steel),US,US,North America
https://www.business-humanrights.org/en/latest-news/total-response-to-statement-by-burma-campaign-uk/,MM,MM,Asia,TotalEnergies (formerly Total),FR,FR,Europe
