URL,Countries_Filled,Country_Code,Continent
https://www.business-humanrights.org/en/latest-news/response-of-ford-to-toxic-100-ranking-usa/,US,US,North America
https://www.business-humanrights.org/en/latest-news/national-mineral-development-corporation-nmdc-statement-regarding-the-report-our-mining-children-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/anglogold-ashantis-response-ghana-2/,GH,GH,Africa
https://www.business-humanrights.org/en/latest-news/lee-groups-response/,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/anglogold-ashantis-response-to-allegations-of-water-contamination-around-its-geita-mine-tanzania/,TZ,TZ,Africa
https://www.business-humanrights.org/en/latest-news/response-of-mcdonalds-to-articles-about-coalition-of-immokalee-workers-campaign-for-living-wage-working-condition-standards-among-tomato-suppliers/,US,US,North America
https://www.business-humanrights.org/en/latest-news/swarovski-response-to-observer-article-entitled-the-price-of-sparkle-is-child-labor/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/monsanto-response-to-letter-from-india-committee-of-the-netherlands-regarding-child-labour-at-cotton-seed-suppliers-for-mahyco-monsanto-in-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/company-statement-for-the-business-human-rights-resource-centre-by-heritage-oil-plc/,UG,UG,Africa
https://www.business-humanrights.org/en/latest-news/defence-housing-authority-response-statement-re-dawn-article-on-unlawful-human-rights-abuses-during-land-acquisition/,PK,PK,Asia
